"race_factor","mean_prob","lower_ci","upper_ci"
"Asian",0.638841459558512,0.631354691095274,0.64632822802175
"Black",0.671393887136348,0.667008519216705,0.675779255055991
"Other",0.657984144960649,0.646157611193358,0.66981067872794
"Unknown",0.703321353171609,0.701077110367049,0.705565595976169
"White",0.664733009708915,0.660174462993438,0.669291556424392
